project;version;class;bugs
Tomcat;6.0.389418;org.apache.jk.common.AprAcceptor;0
Tomcat;6.0.389418;org.apache.catalina.connector.RequestFacade$GetParameterMapPrivilegedAction;0
Tomcat;6.0.389418;org.apache.catalina.Role;0
Tomcat;6.0.389418;org.apache.catalina.mbeans.ClassNameMBean;0
Tomcat;6.0.389418;org.apache.tomcat.util.buf.ByteChunk$ByteInputChannel;0
Tomcat;6.0.389418;org.apache.el.parser.AstValue$Target;0
Tomcat;6.0.389418;org.apache.catalina.ant.JMXSetTask;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Library;0
Tomcat;6.0.389418;org.apache.catalina.startup.Embedded;0
Tomcat;6.0.389418;org.apache.jasper.el.VariableResolverImpl;0
Tomcat;6.0.389418;org.apache.el.parser.AstFalse;0
Tomcat;6.0.389418;org.apache.catalina.deploy.LoginConfig;0
Tomcat;6.0.389418;org.apache.catalina.startup.SetSessionConfig;0
Tomcat;6.0.389418;org.apache.el.parser.NodeVisitor;0
Tomcat;6.0.389418;org.apache.catalina.util.XMLWriter;0
Tomcat;6.0.389418;org.apache.catalina.valves.RequestDumperValve;0
Tomcat;6.0.389418;org.apache.catalina.ssi.ExpressionParseTree$OrNode;0
Tomcat;6.0.389418;javax.servlet.ServletResponseWrapper;0
Tomcat;6.0.389418;org.apache.catalina.util.FastDateFormat;0
Tomcat;6.0.389418;org.apache.catalina.realm.MemoryRuleSet;0
Tomcat;6.0.389418;org.apache.jk.common.AprConnection;0
Tomcat;6.0.389418;org.apache.catalina.ant.DeployTask;0
Tomcat;6.0.389418;org.apache.coyote.RequestInfo;0
Tomcat;6.0.389418;org.apache.coyote.http11.Http11AprProtocol;1
Tomcat;6.0.389418;org.apache.tomcat.util.http.MimeHeaderField;0
Tomcat;6.0.389418;org.apache.jasper.runtime.JspContextWrapper;1
Tomcat;6.0.389418;org.apache.tomcat.util.buf.IntermediateOutputStream;0
Tomcat;6.0.389418;org.apache.catalina.ant.jmx.JMXAccessorSetTask;0
Tomcat;6.0.389418;org.apache.tomcat.util.buf.HexUtils;0
Tomcat;6.0.389418;org.apache.el.parser.AstDynamicExpression;0
Tomcat;6.0.389418;org.apache.coyote.http11.Http11BaseProtocol;0
Tomcat;6.0.389418;org.apache.el.parser.AstMinus;0
Tomcat;6.0.389418;org.apache.jasper.el.JspELException;0
Tomcat;6.0.389418;org.apache.catalina.startup.HostConfig$DeployedApplication;0
Tomcat;6.0.389418;org.apache.coyote.RequestGroupInfo;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Generator$GenerateVisitor;0
Tomcat;6.0.389418;org.apache.catalina.session.PersistentManager;0
Tomcat;6.0.389418;org.apache.tomcat.util.digester.CallMethodRule;0
Tomcat;6.0.389418;org.apache.catalina.deploy.FilterDef;0
Tomcat;6.0.389418;javax.servlet.jsp.el.ELParseException;0
Tomcat;6.0.389418;org.apache.tomcat.util.threads.Expirer;0
Tomcat;6.0.389418;org.apache.jasper.tagplugins.jstl.core.If;0
Tomcat;6.0.389418;org.apache.coyote.http11.InternalOutputBuffer$1;0
Tomcat;6.0.389418;javax.servlet.jsp.el.ImplicitObjectELResolver$ScopeManager$5;0
Tomcat;6.0.389418;javax.servlet.ServletRequestAttributeEvent;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Generator$GenBuffer$1;0
Tomcat;6.0.389418;org.apache.tomcat.jni.File;0
Tomcat;6.0.389418;org.apache.tomcat.jni.User;0
Tomcat;6.0.389418;org.apache.catalina.realm.MemoryUserRule;0
Tomcat;6.0.389418;org.apache.el.parser.AstFloatingPoint;0
Tomcat;6.0.389418;org.apache.tomcat.util.http.ServerCookie;1
Tomcat;6.0.389418;org.apache.jasper.runtime.ServletResponseWrapperInclude;0
Tomcat;6.0.389418;org.apache.naming.resources.FileDirContext$FileResourceAttributes;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.jsse.JSSESupport;0
Tomcat;6.0.389418;org.apache.el.parser.AstGreaterThanEqual;0
Tomcat;6.0.389418;org.apache.jk.common.ChannelSocket$SocketAcceptor;0
Tomcat;6.0.389418;org.apache.catalina.ant.AbstractCatalinaTask;0
Tomcat;6.0.389418;org.apache.tomcat.jni.SSLContext;0
Tomcat;6.0.389418;javax.el.VariableMapper;0
Tomcat;6.0.389418;org.apache.catalina.realm.JAASCallbackHandler;0
Tomcat;6.0.389418;org.apache.catalina.authenticator.Constants;1
Tomcat;6.0.389418;org.apache.catalina.connector.ClientAbortException;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Node$IncludeAction;0
Tomcat;6.0.389418;org.apache.catalina.mbeans.StandardEngineMBean;0
Tomcat;6.0.389418;org.apache.coyote.http11.Http11AprProtocol$Http11ConnectionHandler;0
Tomcat;6.0.389418;org.apache.catalina.session.StandardSessionContext;0
Tomcat;6.0.389418;org.apache.catalina.util.StringParser;0
Tomcat;6.0.389418;org.apache.catalina.ssi.ExpressionParseTree$GreaterThanNode;0
Tomcat;6.0.389418;org.apache.jasper.compiler.SmapStratum$LineInfo;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Shm;0
Tomcat;6.0.389418;org.apache.jasper.el.ELContextImpl$VariableMapperImpl;0
Tomcat;6.0.389418;org.apache.catalina.core.ApplicationDispatcher;2
Tomcat;6.0.389418;org.apache.naming.resources.ImmutableNameNotFoundException;0
Tomcat;6.0.389418;org.apache.catalina.ssi.ExpressionParseTree$NotNode;0
Tomcat;6.0.389418;org.apache.jasper.runtime.PageContextImpl$4;0
Tomcat;6.0.389418;org.apache.catalina.startup.ContextRuleSet;0
Tomcat;6.0.389418;org.apache.naming.NamingContext;0
Tomcat;6.0.389418;org.apache.coyote.ajp.AjpMessage;0
Tomcat;6.0.389418;javax.servlet.jsp.tagext.BodyContent;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Validator$TagExtraInfoVisitor;0
Tomcat;6.0.389418;org.apache.naming.JndiPermission;0
Tomcat;6.0.389418;org.apache.naming.factory.EjbFactory;0
Tomcat;6.0.389418;org.apache.coyote.http11.Http11AprProcessor;1
Tomcat;6.0.389418;org.apache.jasper.compiler.JspConfig$JspPropertyGroup;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Time;0
Tomcat;6.0.389418;org.apache.catalina.core.ApplicationFilterChain$1;0
Tomcat;6.0.389418;org.apache.jasper.JspCompilationContext;4
Tomcat;6.0.389418;org.apache.jasper.compiler.ELFunctionMapper$ELFunctionVisitor$1Fvisitor;0
Tomcat;6.0.389418;org.apache.catalina.util.RequestUtil;1
Tomcat;6.0.389418;org.apache.tomcat.util.collections.LRUCache;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Generator$1ScriptingVarVisitor;0
Tomcat;6.0.389418;org.apache.catalina.mbeans.StandardServiceMBean;0
Tomcat;6.0.389418;org.apache.tomcat.util.IntrospectionUtils;0
Tomcat;6.0.389418;org.apache.coyote.OutputBuffer;0
Tomcat;6.0.389418;org.apache.coyote.http11.Constants;1
Tomcat;6.0.389418;org.apache.catalina.connector.Response$1;0
Tomcat;6.0.389418;org.apache.catalina.util.ManifestResource;0
Tomcat;6.0.389418;org.apache.jk.common.ChannelNioSocket$SocketConnection;0
Tomcat;6.0.389418;org.apache.naming.resources.Resource;0
Tomcat;6.0.389418;org.apache.jasper.xmlparser.SymbolTable;0
Tomcat;6.0.389418;org.apache.jasper.runtime.ProtectedFunctionMapper$2;0
Tomcat;6.0.389418;org.apache.jasper.xmlparser.XMLEncodingDetector;0
Tomcat;6.0.389418;org.apache.tomcat.util.buf.StringCache$CharEntry;0
Tomcat;6.0.389418;org.apache.tomcat.util.http.MimeMap;0
Tomcat;6.0.389418;javax.el.FunctionMapper;0
Tomcat;6.0.389418;org.apache.tomcat.util.digester.SetPropertyRule;0
Tomcat;6.0.389418;org.apache.catalina.servlets.DefaultServlet;2
Tomcat;6.0.389418;org.apache.jasper.compiler.Node$JspRoot;0
Tomcat;6.0.389418;org.apache.catalina.security.SecurityUtil$1;0
Tomcat;6.0.389418;org.apache.tomcat.util.digester.ObjectCreationFactory;0
Tomcat;6.0.389418;org.apache.catalina.connector.RequestFacade$GetSessionPrivilegedAction;0
Tomcat;6.0.389418;org.apache.jasper.servlet.JspServletWrapper;1
Tomcat;6.0.389418;javax.el.BeanELResolver$ConcurrentCache;0
Tomcat;6.0.389418;org.apache.catalina.loader.StandardClassLoader;1
Tomcat;6.0.389418;org.apache.catalina.connector.RequestFacade$GetAttributePrivilegedAction;0
Tomcat;6.0.389418;org.apache.coyote.ActionHook;0
Tomcat;6.0.389418;org.apache.el.MethodExpressionImpl;0
Tomcat;6.0.389418;org.apache.tomcat.util.buf.Base64;0
Tomcat;6.0.389418;javax.servlet.jsp.tagext.TagData;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Multicast;0
Tomcat;6.0.389418;org.apache.tomcat.util.buf.UTF8Decoder;0
Tomcat;6.0.389418;org.apache.catalina.realm.JAASMemoryLoginModule;0
Tomcat;6.0.389418;org.apache.naming.NamingServiceMBean;0
Tomcat;6.0.389418;javax.servlet.jsp.tagext.FunctionInfo;0
Tomcat;6.0.389418;org.apache.el.parser.ParseException;0
Tomcat;6.0.389418;org.apache.catalina.Authenticator;0
Tomcat;6.0.389418;org.apache.catalina.realm.GenericPrincipal;0
Tomcat;6.0.389418;org.apache.jasper.compiler.ErrorDispatcher;1
Tomcat;6.0.389418;org.apache.catalina.valves.AccessLogValve;0
Tomcat;6.0.389418;org.apache.catalina.ant.jmx.JMXAccessorTask;0
Tomcat;6.0.389418;org.apache.catalina.deploy.MessageDestinationRef;0
Tomcat;6.0.389418;javax.el.ELResolver;0
Tomcat;6.0.389418;org.apache.catalina.connector.Response$2;0
Tomcat;6.0.389418;org.apache.tomcat.util.buf.B2CConverter;1
Tomcat;6.0.389418;org.apache.tomcat.util.http.ValuesEnumerator;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Node$DoBodyAction;0
Tomcat;6.0.389418;javax.servlet.ServletRequestWrapper;0
Tomcat;6.0.389418;org.apache.naming.resources.DirContextURLConnection;0
Tomcat;6.0.389418;org.apache.catalina.users.AbstractUser;0
Tomcat;6.0.389418;org.apache.catalina.connector.RequestFacade$GetParameterValuePrivilegedAction;0
Tomcat;6.0.389418;org.apache.tomcat.util.threads.Expirer$ExpireCallback;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.jsse.JSSEImplementation;0
Tomcat;6.0.389418;org.apache.catalina.util.SchemaResolver;0
Tomcat;6.0.389418;org.apache.el.lang.ELArithmetic$LongDelegate;0
Tomcat;6.0.389418;org.apache.catalina.ant.InstallTask;0
Tomcat;6.0.389418;javax.el.ELContextListener;0
Tomcat;6.0.389418;org.apache.catalina.session.StandardSession$1;0
Tomcat;6.0.389418;org.apache.jasper.compiler.ELParser$Id;0
Tomcat;6.0.389418;javax.servlet.jsp.el.ScopedAttributeELResolver;0
Tomcat;6.0.389418;org.apache.jasper.runtime.JspRuntimeLibrary$PrivilegedIntrospectHelper;0
Tomcat;6.0.389418;org.apache.tomcat.jni.SSL;0
Tomcat;6.0.389418;org.apache.el.lang.ELSupport;2
Tomcat;6.0.389418;javax.servlet.jsp.el.Expression;0
Tomcat;6.0.389418;org.apache.el.parser.AstValue;0
Tomcat;6.0.389418;org.apache.catalina.core.StandardWrapperFacade;0
Tomcat;6.0.389418;javax.el.MapELResolver;0
Tomcat;6.0.389418;org.apache.catalina.servlets.WebdavServlet$Property;0
Tomcat;6.0.389418;javax.servlet.jsp.tagext.BodyTag;0
Tomcat;6.0.389418;org.apache.jasper.compiler.ELNode$Text;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.SSLSupport;0
Tomcat;6.0.389418;javax.servlet.jsp.el.ImplicitObjectELResolver$ScopeManager$7;0
Tomcat;6.0.389418;org.apache.tomcat.util.http.BaseRequest;0
Tomcat;6.0.389418;org.apache.el.parser.AstIdentifier;0
Tomcat;6.0.389418;javax.servlet.jsp.tagext.Tag;0
Tomcat;6.0.389418;org.apache.catalina.connector.CoyoteInputStream$1;0
Tomcat;6.0.389418;org.apache.coyote.http11.filters.SavedRequestInputFilter;1
Tomcat;6.0.389418;org.apache.el.parser.ArithmeticNode;0
Tomcat;6.0.389418;org.apache.catalina.realm.JDBCRealm;1
Tomcat;6.0.389418;org.apache.jasper.compiler.ELNode;0
Tomcat;6.0.389418;org.apache.coyote.http11.filters.ChunkedInputFilter;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Directory;0
Tomcat;6.0.389418;org.apache.jk.apr.AprImpl;0
Tomcat;6.0.389418;org.apache.el.parser.AstDotSuffix;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Procattr;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.AprEndpoint$Handler;0
Tomcat;6.0.389418;org.apache.el.parser.AstCompositeExpression;0
Tomcat;6.0.389418;org.apache.catalina.ssi.SSIMediator;1
Tomcat;6.0.389418;org.apache.catalina.startup.Tool;0
Tomcat;6.0.389418;org.apache.catalina.startup.NamingRuleSet;0
Tomcat;6.0.389418;org.apache.tomcat.util.digester.AbstractObjectCreationFactory;0
Tomcat;6.0.389418;org.apache.jasper.el.ELResolverImpl;0
Tomcat;6.0.389418;javax.servlet.jsp.tagext.SimpleTagSupport;0
Tomcat;6.0.389418;org.apache.jasper.compiler.SmapGenerator;0
Tomcat;6.0.389418;org.apache.naming.resources.jndi.Handler;0
Tomcat;6.0.389418;org.apache.catalina.startup.LifecycleListenerRule;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.jsse.JSSE13Factory;0
Tomcat;6.0.389418;org.apache.el.parser.AstDeferredExpression;0
Tomcat;6.0.389418;org.apache.jk.common.MsgAjp;0
Tomcat;6.0.389418;javax.el.MethodNotFoundException;0
Tomcat;6.0.389418;org.apache.catalina.valves.Constants;0
Tomcat;6.0.389418;org.apache.coyote.http11.filters.IdentityOutputFilter;0
Tomcat;6.0.389418;org.apache.catalina.core.StandardEngineValve;0
Tomcat;6.0.389418;org.apache.jasper.compiler.JDTCompiler;0
Tomcat;6.0.389418;org.apache.jasper.runtime.PerThreadTagHandlerPool$PerThreadData;0
Tomcat;6.0.389418;org.apache.tomcat.util.threads.ThreadPool$ControlRunnable;0
Tomcat;6.0.389418;org.apache.jasper.JasperException;0
Tomcat;6.0.389418;org.apache.tomcat.util.threads.ThreadPool$MonitorRunnable;0
Tomcat;6.0.389418;org.apache.naming.factory.ResourceEnvFactory;0
Tomcat;6.0.389418;org.apache.catalina.ssi.ExpressionParseTree$AndNode;0
Tomcat;6.0.389418;org.apache.jasper.runtime.JspFactoryImpl$1;0
Tomcat;6.0.389418;org.apache.catalina.deploy.ContextResource;0
Tomcat;6.0.389418;org.apache.tomcat.util.digester.AbstractRulesImpl;0
Tomcat;6.0.389418;org.apache.juli.ClassLoaderLogManager$3;0
Tomcat;6.0.389418;org.apache.naming.resources.ResourceCache;0
Tomcat;6.0.389418;org.apache.jk.common.AjpConstants;0
Tomcat;6.0.389418;org.apache.catalina.ssi.SSIFilter;0
Tomcat;6.0.389418;org.apache.catalina.util.Strftime;0
Tomcat;6.0.389418;org.apache.jasper.compiler.JspRuntimeContext;2
Tomcat;6.0.389418;org.apache.jasper.runtime.ProtectedFunctionMapper$1;0
Tomcat;6.0.389418;org.apache.naming.factory.BeanFactory;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.jsse.JSSEFactory;0
Tomcat;6.0.389418;org.apache.tomcat.jni.BIOCallback;0
Tomcat;6.0.389418;org.apache.catalina.startup.ClusterRuleSetFactory$DefaultClusterRuleSet;0
Tomcat;6.0.389418;org.apache.catalina.loader.Reloader;0
Tomcat;6.0.389418;org.apache.catalina.startup.HostRuleSet;0
Tomcat;6.0.389418;org.apache.jasper.util.SystemLogHandler;0
Tomcat;6.0.389418;org.apache.el.parser.SimpleCharStream;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Node$ChildInfo;0
Tomcat;6.0.389418;javax.el.CompositeELResolver;0
Tomcat;6.0.389418;org.apache.jasper.compiler.ParserController;0
Tomcat;6.0.389418;org.apache.catalina.ssi.SSIExec;0
Tomcat;6.0.389418;org.apache.catalina.ssi.ExpressionParseTree$EqualNode;0
Tomcat;6.0.389418;javax.servlet.ServletOutputStream;0
Tomcat;6.0.389418;org.apache.jasper.runtime.PageContextImpl$10;0
Tomcat;6.0.389418;javax.servlet.http.HttpUtils;0
Tomcat;6.0.389418;org.apache.catalina.connector.ResponseFacade$SetContentTypePrivilegedAction;0
Tomcat;6.0.389418;org.apache.catalina.core.StandardWrapper;4
Tomcat;6.0.389418;org.apache.jasper.compiler.JspConfig;0
Tomcat;6.0.389418;org.apache.naming.ResourceRef;0
Tomcat;6.0.389418;org.apache.catalina.mbeans.NamingResourcesMBean;0
Tomcat;6.0.389418;org.apache.catalina.users.MemoryGroup;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.AprEndpoint$SendfileData;0
Tomcat;6.0.389418;org.apache.jasper.xmlparser.EncodingMap;0
Tomcat;6.0.389418;org.apache.naming.NamingService;0
Tomcat;6.0.389418;javax.servlet.jsp.tagext.TagVariableInfo;0
Tomcat;6.0.389418;org.apache.coyote.http11.filters.BufferedInputFilter;0
Tomcat;6.0.389418;javax.servlet.jsp.el.VariableResolver;0
Tomcat;6.0.389418;org.apache.catalina.mbeans.StandardServerMBean;0
Tomcat;6.0.389418;org.apache.catalina.realm.UserDatabaseRealm;0
Tomcat;6.0.389418;javax.servlet.jsp.tagext.TagAttributeInfo;0
Tomcat;6.0.389418;org.apache.jk.core.JkChannel;0
Tomcat;6.0.389418;org.apache.catalina.connector.Response;1
Tomcat;6.0.389418;org.apache.catalina.startup.SetAuthConstraintRule;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.jsse.JSSE14Support$1;0
Tomcat;6.0.389418;org.apache.naming.factory.MailSessionFactory$1$1;0
Tomcat;6.0.389418;org.apache.tomcat.util.collections.SimpleHashtable$Entry;0
Tomcat;6.0.389418;org.apache.catalina.session.PersistentManagerBase$PrivilegedStoreSave;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Node$Comment;0
Tomcat;6.0.389418;org.apache.el.parser.AstString;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Generator$TagHandlerInfo;0
Tomcat;6.0.389418;org.apache.jasper.runtime.PerThreadTagHandlerPool;0
Tomcat;6.0.389418;javax.servlet.http.HttpSessionEvent;0
Tomcat;6.0.389418;org.apache.naming.resources.WARDirContext;0
Tomcat;6.0.389418;org.apache.el.parser.BooleanNode;0
Tomcat;6.0.389418;org.apache.tomcat.util.http.HttpMessages;0
Tomcat;6.0.389418;javax.servlet.http.HttpSessionBindingEvent;0
Tomcat;6.0.389418;org.apache.naming.EjbRef;0
Tomcat;6.0.389418;org.apache.catalina.ant.ResourcesTask;0
Tomcat;6.0.389418;org.apache.catalina.ant.jmx.JMXAccessorCreateTask;0
Tomcat;6.0.389418;org.apache.catalina.ssi.ExpressionParseTree$Node;0
Tomcat;6.0.389418;org.apache.tomcat.util.buf.DateTool;0
Tomcat;6.0.389418;org.apache.catalina.session.PersistentManagerBase;4
Tomcat;6.0.389418;org.apache.catalina.mbeans.MBeanUtils;0
Tomcat;6.0.389418;org.apache.catalina.valves.RemoteHostValve;0
Tomcat;6.0.389418;org.apache.catalina.valves.Constants$AccessLog;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Status;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.jsse.JSSE14SocketFactory;0
Tomcat;6.0.389418;org.apache.catalina.loader.ResourceEntry;0
Tomcat;6.0.389418;org.apache.catalina.Pipeline;0
Tomcat;6.0.389418;org.apache.catalina.valves.RequestFilterValve;0
Tomcat;6.0.389418;org.apache.catalina.Wrapper;0
Tomcat;6.0.389418;javax.servlet.http.HttpServlet;1
Tomcat;6.0.389418;org.apache.catalina.startup.UserDatabase;0
Tomcat;6.0.389418;org.apache.tomcat.util.buf.UEncoder;0
Tomcat;6.0.389418;org.apache.catalina.connector.RequestFacade$GetCookiesPrivilegedAction;0
Tomcat;6.0.389418;org.apache.catalina.startup.HomesUserDatabase;0
Tomcat;6.0.389418;org.apache.jasper.tagplugins.jstl.Util$ImportResponseWrapper$1;0
Tomcat;6.0.389418;org.apache.catalina.connector.Constants;0
Tomcat;6.0.389418;org.apache.jk.core.Msg;0
Tomcat;6.0.389418;org.apache.jasper.runtime.JspFactoryImpl$PrivilegedGetPageContext;0
Tomcat;6.0.389418;org.apache.catalina.ant.UndeployTask;0
Tomcat;6.0.389418;org.apache.catalina.ssi.SSICommand;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Validator$ValidateVisitor$1MapperELVisitor;0
Tomcat;6.0.389418;org.apache.jasper.compiler.JDTCompiler$1;0
Tomcat;6.0.389418;org.apache.jasper.runtime.ProtectedFunctionMapper$4;0
Tomcat;6.0.389418;org.apache.catalina.Session;0
Tomcat;6.0.389418;org.apache.catalina.util.TomcatCSS;0
Tomcat;6.0.389418;org.apache.el.lang.ELArithmetic$DoubleDelegate;0
Tomcat;6.0.389418;org.apache.catalina.util.MD5Encoder;0
Tomcat;6.0.389418;org.apache.catalina.ssi.SSIServletExternalResolver$ServletContextAndPath;0
